name,country_iso2,ticker,source_item,source
PNC Financial Services,US,PNC,,DataHub S&P 500 companies
PPG Industries,US,PPG,,DataHub S&P 500 companies
PPLCorporation,US,PPL,,DataHub S&P 500 companies
Principal Financial Group,US,PFG,,DataHub S&P 500 companies
Procter & Gamble,US,PG,,DataHub S&P 500 companies
ProgressiveCorporation,US,PGR,,DataHub S&P 500 companies
Prologis,US,PLD,,DataHub S&P 500 companies
Prudential Financial,US,PRU,,DataHub S&P 500 companies
Public Service Enterprise Group,US,PEG,,DataHub S&P 500 companies
PTCInc.,US,PTC,,DataHub S&P 500 companies
Public Storage,US,PSA,,DataHub S&P 500 companies
PulteGroup,US,PHM,,DataHub S&P 500 companies
Quanta Services,US,PWR,,DataHub S&P 500 companies
Qualcomm,US,QCOM,,DataHub S&P 500 companies
Quest Diagnostics,US,DGX,,DataHub S&P 500 companies
Qnity Electronics,US,Q,,DataHub S&P 500 companies
Ralph LaurenCorporation,US,RL,,DataHub S&P 500 companies
Raymond James Financial,US,RJF,,DataHub S&P 500 companies
RTXCorporation,US,RTX,,DataHub S&P 500 companies
Realty Income,US,O,,DataHub S&P 500 companies
Regency Centers,US,REG,,DataHub S&P 500 companies
Regeneron Pharmaceuticals,US,REGN,,DataHub S&P 500 companies
Regions FinancialCorporation,US,RF,,DataHub S&P 500 companies
Republic Services,US,RSG,,DataHub S&P 500 companies
ResMed,US,RMD,,DataHub S&P 500 companies
Revvity,US,RVTY,,DataHub S&P 500 companies
Robinhood Markets,US,HOOD,,DataHub S&P 500 companies
Rockwell Automation,US,ROK,,DataHub S&P 500 companies
"Rollins,Inc.",US,ROL,,DataHub S&P 500 companies
Roper Technologies,US,ROP,,DataHub S&P 500 companies
Ross Stores,US,ROST,,DataHub S&P 500 companies
Royal Caribbean Group,US,RCL,,DataHub S&P 500 companies
S&P Global,US,SPGI,,DataHub S&P 500 companies
Salesforce,US,CRM,,DataHub S&P 500 companies
Sandisk,US,SNDK,,DataHub S&P 500 companies
SBA Communications,US,SBAC,,DataHub S&P 500 companies
Schlumberger,US,SLB,,DataHub S&P 500 companies
Seagate Technology,US,STX,,DataHub S&P 500 companies
Sempra,US,SRE,,DataHub S&P 500 companies
ServiceNow,US,NOW,,DataHub S&P 500 companies
Sherwin-Williams,US,SHW,,DataHub S&P 500 companies
Simon Property Group,US,SPG,,DataHub S&P 500 companies
Skyworks Solutions,US,SWKS,,DataHub S&P 500 companies
J.M. Smucker Company (The),US,SJM,,DataHub S&P 500 companies
Smurfit Westrock,US,SW,,DataHub S&P 500 companies
Snap-on,US,SNA,,DataHub S&P 500 companies
Solventum,US,SOLV,,DataHub S&P 500 companies
SouthernCompany,US,SO,,DataHub S&P 500 companies
Southwest Airlines,US,LUV,,DataHub S&P 500 companies
Stanley Black & Decker,US,SWK,,DataHub S&P 500 companies
Starbucks,US,SBUX,,DataHub S&P 500 companies
State StreetCorporation,US,STT,,DataHub S&P 500 companies
Steel Dynamics,US,STLD,,DataHub S&P 500 companies
Steris,US,STE,,DataHub S&P 500 companies
StrykerCorporation,US,SYK,,DataHub S&P 500 companies
Supermicro,US,SMCI,,DataHub S&P 500 companies
Synchrony Financial,US,SYF,,DataHub S&P 500 companies
Synopsys,US,SNPS,,DataHub S&P 500 companies
Sysco,US,SYY,,DataHub S&P 500 companies
T-Mobile US,US,TMUS,,DataHub S&P 500 companies
T. Rowe Price,US,TROW,,DataHub S&P 500 companies
Take-Two Interactive,US,TTWO,,DataHub S&P 500 companies
"Tapestry,Inc.",US,TPR,,DataHub S&P 500 companies
Targa Resources,US,TRGP,,DataHub S&P 500 companies
TargetCorporation,US,TGT,,DataHub S&P 500 companies
TE Connectivity,US,TEL,,DataHub S&P 500 companies
Teledyne Technologies,US,TDY,,DataHub S&P 500 companies
Teradyne,US,TER,,DataHub S&P 500 companies
"Tesla,Inc.",US,TSLA,,DataHub S&P 500 companies
Texas Instruments,US,TXN,,DataHub S&P 500 companies
Texas Pacific LandCorporation,US,TPL,,DataHub S&P 500 companies
Textron,US,TXT,,DataHub S&P 500 companies
Thermo Fisher Scientific,US,TMO,,DataHub S&P 500 companies
TJX Companies,US,TJX,,DataHub S&P 500 companies
TKO Group Holdings,US,TKO,,DataHub S&P 500 companies
Trade Desk (The),US,TTD,,DataHub S&P 500 companies
Tractor Supply,US,TSCO,,DataHub S&P 500 companies
Trane Technologies,US,TT,,DataHub S&P 500 companies
TransDigm Group,US,TDG,,DataHub S&P 500 companies
Travelers Companies (The),US,TRV,,DataHub S&P 500 companies
TrimbleInc.,US,TRMB,,DataHub S&P 500 companies
Truist Financial,US,TFC,,DataHub S&P 500 companies
Tyler Technologies,US,TYL,,DataHub S&P 500 companies
Tyson Foods,US,TSN,,DataHub S&P 500 companies
U.S. Bancorp,US,USB,,DataHub S&P 500 companies
Uber,US,UBER,,DataHub S&P 500 companies
"UDR,Inc.",US,UDR,,DataHub S&P 500 companies
Ulta Beauty,US,ULTA,,DataHub S&P 500 companies
Union PacificCorporation,US,UNP,,DataHub S&P 500 companies
United Airlines Holdings,US,UAL,,DataHub S&P 500 companies
United Parcel Service,US,UPS,,DataHub S&P 500 companies
United Rentals,US,URI,,DataHub S&P 500 companies
UnitedHealth Group,US,UNH,,DataHub S&P 500 companies
Universal Health Services,US,UHS,,DataHub S&P 500 companies
Valero Energy,US,VLO,,DataHub S&P 500 companies
Veeva Systems,US,VEEV,,DataHub S&P 500 companies
Ventas,US,VTR,,DataHub S&P 500 companies
Veralto,US,VLTO,,DataHub S&P 500 companies
Verisign,US,VRSN,,DataHub S&P 500 companies
Verisk Analytics,US,VRSK,,DataHub S&P 500 companies
Verizon,US,VZ,,DataHub S&P 500 companies
Vertex Pharmaceuticals,US,VRTX,,DataHub S&P 500 companies
Vertiv,US,VRT,,DataHub S&P 500 companies
Viatris,US,VTRS,,DataHub S&P 500 companies
Vici Properties,US,VICI,,DataHub S&P 500 companies
VisaInc.,US,V,,DataHub S&P 500 companies
VistraCorp.,US,VST,,DataHub S&P 500 companies
Vulcan MaterialsCompany,US,VMC,,DataHub S&P 500 companies
W. R. BerkleyCorporation,US,WRB,,DataHub S&P 500 companies
W. W. Grainger,US,GWW,,DataHub S&P 500 companies
Wabtec,US,WAB,,DataHub S&P 500 companies
Walmart,US,WMT,,DataHub S&P 500 companies
Walt Disney Company (The),US,DIS,,DataHub S&P 500 companies
Warner Bros. Discovery,US,WBD,,DataHub S&P 500 companies
Waste Management,US,WM,,DataHub S&P 500 companies
WatersCorporation,US,WAT,,DataHub S&P 500 companies
WEC Energy Group,US,WEC,,DataHub S&P 500 companies
Wells Fargo,US,WFC,,DataHub S&P 500 companies
Welltower,US,WELL,,DataHub S&P 500 companies
West Pharmaceutical Services,US,WST,,DataHub S&P 500 companies
Western Digital,US,WDC,,DataHub S&P 500 companies
Weyerhaeuser,US,WY,,DataHub S&P 500 companies
"Williams-Sonoma,Inc.",US,WSM,,DataHub S&P 500 companies
Williams Companies,US,WMB,,DataHub S&P 500 companies
Willis Towers Watson,US,WTW,,DataHub S&P 500 companies
"Workday,Inc.",US,WDAY,,DataHub S&P 500 companies
Wynn Resorts,US,WYNN,,DataHub S&P 500 companies
Xcel Energy,US,XEL,,DataHub S&P 500 companies
