name,source_item,source
Maintenance Worker,,dariusk/corpora occupations
Makeup Artist,,dariusk/corpora occupations
Management Analyst,,dariusk/corpora occupations
Manicurist,,dariusk/corpora occupations
Manufactured Building Installer,,dariusk/corpora occupations
Mapping Technician,,dariusk/corpora occupations
Marble Setter,,dariusk/corpora occupations
Marine Engineer,,dariusk/corpora occupations
Marine Oiler,,dariusk/corpora occupations
Market Research Analyst,,dariusk/corpora occupations
Marketing Manager,,dariusk/corpora occupations
Marketing Specialist,,dariusk/corpora occupations
Marriage Therapist,,dariusk/corpora occupations
Massage Therapist,,dariusk/corpora occupations
Material Mover,,dariusk/corpora occupations
Materials Engineer,,dariusk/corpora occupations
Materials Scientist,,dariusk/corpora occupations
Mathematical Science Teacher,,dariusk/corpora occupations
Mathematical Technician,,dariusk/corpora occupations
Mathematician,,dariusk/corpora occupations
Maxillofacial Surgeon,,dariusk/corpora occupations
Measurer,,dariusk/corpora occupations
Meat Cutter,,dariusk/corpora occupations
Meat Packer,,dariusk/corpora occupations
Meat Trimmer,,dariusk/corpora occupations
Mechanical Door Repairer,,dariusk/corpora occupations
Mechanical Drafter,,dariusk/corpora occupations
Mechanical Engineer,,dariusk/corpora occupations
Mechanical Engineering Technician,,dariusk/corpora occupations
Mediator,,dariusk/corpora occupations
Medical Appliance Technician,,dariusk/corpora occupations
Medical Assistant,,dariusk/corpora occupations
Medical Equipment Preparer,,dariusk/corpora occupations
Medical Equipment Repairer,,dariusk/corpora occupations
Medical Laboratory Technician,,dariusk/corpora occupations
Medical Laboratory Technologist,,dariusk/corpora occupations
Medical Records Technician,,dariusk/corpora occupations
Medical Scientist,,dariusk/corpora occupations
Medical Secretary,,dariusk/corpora occupations
Medical Services Manager,,dariusk/corpora occupations
Medical Transcriptionist,,dariusk/corpora occupations
Meeting Planner,,dariusk/corpora occupations
Mental Health Counselor,,dariusk/corpora occupations
Mental Health Social Worker,,dariusk/corpora occupations
Merchandise Displayer,,dariusk/corpora occupations
Messenger,,dariusk/corpora occupations
Metal Caster,,dariusk/corpora occupations
Metal Patternmaker,,dariusk/corpora occupations
Metal Pickling Operator,,dariusk/corpora occupations
Metal Pourer,,dariusk/corpora occupations
Metal Worker,,dariusk/corpora occupations
Metal-Refining Furnace Operator,,dariusk/corpora occupations
Metal-Refining Furnace Tender,,dariusk/corpora occupations
Meter Reader,,dariusk/corpora occupations
Microbiologist,,dariusk/corpora occupations
Middle School Teacher,,dariusk/corpora occupations
Milling Machine Setter,,dariusk/corpora occupations
Millwright,,dariusk/corpora occupations
Mine Cutting Machine Operator,,dariusk/corpora occupations
Mine Shuttle Car Operator,,dariusk/corpora occupations
Mining Engineer,,dariusk/corpora occupations
Mining Safety Engineer,,dariusk/corpora occupations
Mining Safety Inspector,,dariusk/corpora occupations
Mining Service Unit Operator,,dariusk/corpora occupations
Mixing Machine Setter,,dariusk/corpora occupations
Mobile Heavy Equipment Mechanic,,dariusk/corpora occupations
Mobile Home Installer,,dariusk/corpora occupations
Model Maker,,dariusk/corpora occupations
Model,,dariusk/corpora occupations
Molder,,dariusk/corpora occupations
Mortician,,dariusk/corpora occupations
Motel Desk Clerk,,dariusk/corpora occupations
Motion Picture Projectionist,,dariusk/corpora occupations
Motorboat Mechanic,,dariusk/corpora occupations
Motorboat Operator,,dariusk/corpora occupations
Motorboat Service Technician,,dariusk/corpora occupations
Motorcycle Mechanic,,dariusk/corpora occupations
Movers,,dariusk/corpora occupations
Multimedia Artist,,dariusk/corpora occupations
Museum Technician,,dariusk/corpora occupations
Music Director,,dariusk/corpora occupations
Music Teacher,,dariusk/corpora occupations
Musical Instrument Repairer,,dariusk/corpora occupations
Musician,,dariusk/corpora occupations
Natural Sciences Manager,,dariusk/corpora occupations
Naval Architect,,dariusk/corpora occupations
Network Systems Administrator,,dariusk/corpora occupations
New Accounts Clerk,,dariusk/corpora occupations
News Vendor,,dariusk/corpora occupations
Nonfarm Animal Caretaker,,dariusk/corpora occupations
Nuclear Engineer,,dariusk/corpora occupations
Nuclear Medicine Technologist,,dariusk/corpora occupations
Nuclear Power Reactor Operator,,dariusk/corpora occupations
Nuclear Technician,,dariusk/corpora occupations
Nursing Aide,,dariusk/corpora occupations
Nursing Instructor,,dariusk/corpora occupations
Nursing Teacher,,dariusk/corpora occupations
Nutritionist,,dariusk/corpora occupations
Obstetrician,,dariusk/corpora occupations
Occupational Health And Safety Specialist,,dariusk/corpora occupations
Occupational Health And Safety Technician,,dariusk/corpora occupations
Occupational Therapist,,dariusk/corpora occupations
Occupational Therapy Aide,,dariusk/corpora occupations
Occupational Therapy Assistant,,dariusk/corpora occupations
Offbearer,,dariusk/corpora occupations
Office Clerk,,dariusk/corpora occupations
Office Machine Operator,,dariusk/corpora occupations
Operating Engineer,,dariusk/corpora occupations
Operations Manager,,dariusk/corpora occupations
Operations Research Analyst,,dariusk/corpora occupations
Ophthalmic Laboratory Technician,,dariusk/corpora occupations
Optician,,dariusk/corpora occupations
Optometrist,,dariusk/corpora occupations
Oral Surgeon,,dariusk/corpora occupations
Order Clerk,,dariusk/corpora occupations
Order Filler,,dariusk/corpora occupations
Orderly,,dariusk/corpora occupations
Ordnance Handling Expert,,dariusk/corpora occupations
Orthodontist,,dariusk/corpora occupations
Orthotist,,dariusk/corpora occupations
Outdoor Power Equipment Mechanic,,dariusk/corpora occupations
