name,iso6391,iso6392,source_item,source
Tigrinya,ti,,,umpirsky/language-list
Timne,,tem,,umpirsky/language-list
Tiv,,tiv,,umpirsky/language-list
Tlingit,,tli,,umpirsky/language-list
Tok Pisin,,tpi,,umpirsky/language-list
Tokelau,,tkl,,umpirsky/language-list
Tongan,to,,,umpirsky/language-list
Tornedalen Finnish,,fit,,umpirsky/language-list
Traditional Chinese,,,,umpirsky/language-list
Tsakhur,,tkr,,umpirsky/language-list
Tsakonian,,tsd,,umpirsky/language-list
Tsimshian,,tsi,,umpirsky/language-list
Tsonga,ts,,,umpirsky/language-list
Tswana,tn,,,umpirsky/language-list
Tulu,,tcy,,umpirsky/language-list
Tumbuka,,tum,,umpirsky/language-list
Tunisian Arabic,,aeb,,umpirsky/language-list
Turkish,tr,,,umpirsky/language-list
Turkmen,tk,,,umpirsky/language-list
Turoyo,,tru,,umpirsky/language-list
Tuvalu,,tvl,,umpirsky/language-list
Tuvinian,,tyv,,umpirsky/language-list
Twi,tw,,,umpirsky/language-list
Tyap,,kcg,,umpirsky/language-list
Udmurt,,udm,,umpirsky/language-list
Ugaritic,,uga,,umpirsky/language-list
Ukrainian,uk,,,umpirsky/language-list
Umbundu,,umb,,umpirsky/language-list
Unknown Language,,und,,umpirsky/language-list
Upper Sorbian,,hsb,,umpirsky/language-list
Urdu,ur,,,umpirsky/language-list
Uyghur,ug,,,umpirsky/language-list
Uzbek,uz,,,umpirsky/language-list
Vai,,vai,,umpirsky/language-list
Venda,ve,,,umpirsky/language-list
Venetian,,vec,,umpirsky/language-list
Veps,,vep,,umpirsky/language-list
Vietnamese,vi,,,umpirsky/language-list
VolapÜK,vo,,,umpirsky/language-list
VÕRo,,vro,,umpirsky/language-list
Votic,,vot,,umpirsky/language-list
Vunjo,,vun,,umpirsky/language-list
Walloon,wa,,,umpirsky/language-list
Walser,,wae,,umpirsky/language-list
Waray,,war,,umpirsky/language-list
Warlpiri,,wbp,,umpirsky/language-list
Washo,,was,,umpirsky/language-list
Wayuu,,guc,,umpirsky/language-list
Welsh,cy,,,umpirsky/language-list
West Flemish,,vls,,umpirsky/language-list
Western Frisian,fy,,,umpirsky/language-list
Western Mari,,mrj,,umpirsky/language-list
Wolaytta,,wal,,umpirsky/language-list
Wolof,wo,,,umpirsky/language-list
Wu Chinese,,wuu,,umpirsky/language-list
Xhosa,xh,,,umpirsky/language-list
Xiang Chinese,,hsn,,umpirsky/language-list
Yangben,,yav,,umpirsky/language-list
Yao,,yao,,umpirsky/language-list
Yapese,,yap,,umpirsky/language-list
Yemba,,ybb,,umpirsky/language-list
Yiddish,yi,,,umpirsky/language-list
Yoruba,yo,,,umpirsky/language-list
Zapotec,,zap,,umpirsky/language-list
Zarma,,dje,,umpirsky/language-list
Zaza,,zza,,umpirsky/language-list
Zeelandic,,zea,,umpirsky/language-list
Zenaga,,zen,,umpirsky/language-list
Zhuang,za,,,umpirsky/language-list
Zoroastrian Dari,,gbz,,umpirsky/language-list
Zulu,zu,,,umpirsky/language-list
Zuni,,zun,,umpirsky/language-list
